bucket	date	oca_title	best_ours	score
elsewhere	06-19	Repose of Saint Job, Patriarch of Moscow and all Russia	10-09  Repose of St Tikhon, Patriarch of Moscow and All Russia, Confessor (1925)	0.75
present	06-20	Hieromartyr Methodius, Bishop of Patara	Hieromartyr Methodius, Bishop of Patar	1.0
missing	06-20	Blessed Prince Gleb Andreevich, son of Saint Andrew Bogoliubsky		0.0
elsewhere	06-20	Translation of the relics of Saint Gurias, Archbishop of Kazan	10-04  Unc. Rel. Gurias of Kazan and Varsanuphy of Tver	1.0
elsewhere	06-20	Martyrs Inna, Pinna, and Rimma, disciples of Apostle Andrew in Scythia	01-20  Holy Martyrs Inna, Pinna and Rimma (Nirra) (1st – 2nd c.)	0.75
missing	06-20	Martyrs Aristocles the Presbyter, Demetrian the Deacon, and Athanasius the Reader, of Cyprus		0.0
missing	06-20	Saint Leucius, Bishop of Brindisi		0.0
present	06-20	Saint Callistus, Patriarch of Constantinople	St Kallistos I, Patriarch of Constantinople (1363)	1.0
missing	06-20	Saint Menas, Bishop of Polotsk		0.0
present	06-20	Venerable Nicholas Cabasilas	Nicholas Cabasilas of Thessaloniki	1.0
probable	06-20	Saint Nahum of Ochrid, disciple of Saints Cyril and Methodius, Equals of the Apostles	Hieromartyr Methodius, Bishop of Patar	0.5
missing	06-20	Hodegetria Icon of the Mother of God (Παναγία Οδηγήτρια)		0.0
missing	06-21	Venerable Ananias the Iconographer		0.0
present	06-21	Martyr Julian of Tarsus, in Cilicia	Martyr Julian of Tarsus	1.0
missing	06-21	Hieromartyr Terence, Bishop of Iconium		0.0
present	06-21	Saint Julius, Presbyter of Novara, and his brother, Saint Julian the Deacon	Our Holy Fathers Julius and Julian (5th c.)	1.0
missing	06-21	Martyr Archil II, King of Georgia		0.0
missing	06-21	Martyr Luarsab II, King of Georgia		0.0
missing	06-21	Venerable Anastasia of Serbia		0.0
missing	06-21	New Martyr Nikḗtas of Nisyros near Rhodes		0.0
present	06-22	Hieromartyr Eusebius, Bishop of Samosata	Hieromartyr Eusebius, Bishop of Samosata	1.0
present	06-22	Martyrs Zeno and his servant, Zenas, of Philadelphia	Martyrs Zeno and Zenas of Philadelphia	1.0
missing	06-22	Martyrs Galacteon, Juliana, and Saturninus, of Constantinople		0.0
probable	06-22	Saint Alban, Protomartyr of Britain	St Alban, First Martyr of Great Britain (early 3rd c.)	0.67
missing	06-22	Hieromartyr Nikḗtas of Remesiana		0.0
missing	06-22	Martyr Nikḗtas the Dacian		0.0
missing	06-22	Saint Gregory, Metropolitan of Wallachia		0.0
present	06-23	Martyr Agrippina of Rome	Martyr Agrippina of Rome	1.0
missing	06-23	Righteous Artemius of Verkola		0.0
missing	06-23	Second Translation of the relics of Saint Herman, Archbishop of Kazan		0.0
missing	06-23	Martyrs Eustochius, Gaius, Probus, Lollius, and Urban, of Ancyra		0.0
missing	06-23	Synaxis of the Saints of Vladimir		0.0
present	06-23	Meeting of the Vladimir Icon of the Mother of God in memory of the Saving of Moscow from the Invasion of Khan Achmed	Commemoration of the Vladimir Icon of the Most Holy Mother of God	0.75
probable	06-23	“Tenderness” Icon of the Mother of God of the Pskov Caves	Commemoration of the Vladimir Icon of the Most Holy Mother of God	0.5
missing	06-23	Nikḗtas of Thebes and those with him		0.0
missing	06-23	Saint Etheldreda of Ely		0.0
probable	06-23	Úglich Portaίtissa (Gatekeeper) Icon of the Mother of God	Commemoration of the Vladimir Icon of the Most Holy Mother of God	0.5
present	06-24	Nativity of the Holy Glorious Prophet, Forerunner and Baptist, John	Nativity of St John the Baptist	1.0
missing	06-24	Venerable Anthony, Abbot of Dymsk, Novgorod		0.0
probable	06-24	Righteous Youths John and Jacob (James) of Meniugi	Nativity of St John the Baptist	0.33
present	06-24	Seven Martyred Brothers: Orentius, Pharnacius, Eros, Firmus, Firminus, Cyriacus, and Longinus, in Georgia	Holy Martyrs Orentius, Pharnacius, Eros, Firmus, Firminus, Cyriacus and Longinus (3rd c.)	1.0
present	06-24	Saint Athanasius Parios	Athanasios Parios	1.0
missing	06-24	Venerable Barlaam of Khutin		0.0
present	06-25	Virgin Martyr Febronia of Nisibis	Virgin Martyr Febronia	1.0
present	06-25	Saints Peter and Fevronia (tonsured David and Euphrosyne), Wonderworkers of Murom	Peter and Fevronia of Murom	1.0
probable	06-25	Saint Dionysios, the builder of Prodromou Monastery, Mount Athos	Our Holy Father Dionysios, founder of the Monastery of St John the Forerunner on Mt Athos (1380)	0.5
missing	06-25	Venerable Dometius of Dionysiou		0.0
present	06-25	Monastic Martyr Procopius of the Ivḗron Monastery on Mount Athos	Prokopios the New Martyr	1.0
present	06-25	New Martyr Procopius of Varna	Prokopios the New Martyr	1.0
missing	06-25	Venerable Nikon of Optina		0.0
missing	06-25	New Martyr George of Attalia		0.0
missing	06-25	Saint Moloug of Lismore		0.0
missing	06-25	Saint Theoleptos, Metropolitan of Philadelphia		0.0
present	06-26	Saint David of Thessaloniki	Ven. David of Thessalonica	1.0
missing	06-26	Saint Dionysius, Archbishop of Suzdal		0.0
missing	06-26	Translation of the relics of Saint Tikhon of Luchov, Kostroma		0.0
missing	06-26	Saint John, Bishop of the Goths in the Crimea		0.0
present	06-26	Appearance of the Tikhvin Icon of the Mother of God	Tikhvin Icon	1.0
probable	06-26	“Seven Lakes” Icon of the Mother of God	Tikhvin Icon	0.5
probable	06-26	“Neamts” Icon of the Mother of God	Tikhvin Icon	0.5
probable	06-26	Icon of the Mother of God of Lydda or “the Roman”	Tikhvin Icon	0.5
missing	06-26	Feast of All Saints of Georgia		0.0
probable	06-26	New Martyr David of Saint Anne's Skete	Ven. David of Thessalonica	0.33
present	06-27	Saint Sampson the Hospitable of Constantinople	Ven. Sampson the Hospitable of Constantinople	1.0
probable	06-27	Saint Joanna the Myrrhbearer	St Joanna the Myrrh-bearer (1st c.)	0.5
missing	06-27	Venerable Serapion of Kozhe Lake		0.0
probable	06-27	Saint Severus the Presbyter of Interocrea, Italy	St Severus the Priest (6th c.)	0.5
missing	06-27	Venerable George of Mount Athos		0.0
missing	06-27	Finding of the relics of Venerable Ambrose of Optina		0.0
missing	06-27	Venerable Martin of Turov		0.0
missing	06-27	Hieromartyr Kirion II, Catholicos-Patriarch of All Georgia		0.0
probable	06-28	Translation of the Relics of the holy and wonderworking Unmercenaries Cyrus and John	Trans. Rel. Ven. Cyrus and John	0.5
missing	06-28	Venerable Xenophon, Abbot of Robeika, Novgorod		0.0
present	06-28	Venerable Sergius and Herman, Wonderworkers of Valaam	Sergius and Herman, Wonderworkers of Valaam	1.0
present	06-28	Saint Paul, Physician of Corinth	St. Paul the Physician, of Corinth	1.0
present	06-28	Icon of the Mother of God “Of the Three Hands”	"Synaxis of the Icon of our Most Holy Lady the Theotokos ""Of the Three Hands"""	0.75
missing	06-28	Hieromartyr Basil		0.0
present	06-28	Holy Martyr Pappias	Pappias the Martyr	1.0
probable	06-28	Venerable Confessor Sergius of Paphlagonia	Sergius and Herman, Wonderworkers of Valaam	0.5
present	06-29	The Holy Glorious and All-Praised Leaders of the Apostles, Peter and Paul	Holy Apostles Peter and Paul	1.0
probable	06-29	The Holy Glorious and All-Praised Leader of the Apostles, Peter	Holy Apostles Peter and Paul	0.5
probable	06-29	The Holy Glorious and All-Praised Leader of the Apostles, Paul	Holy Apostles Peter and Paul	0.5
missing	06-29	Icon of the Mother of God of Kasperov		0.0
elsewhere	06-30	Synaxis of the Holy, Glorious and All-Praised Twelve Apostles	06-29  The Holy, Glorious and All-praised Leaders of the Apostles, Peter and Paul	0.75
missing	06-30	Saint Peter, Prince of Ordinsk, Rostov		0.0
missing	06-30	Translation of the relics of Saint Sophronius, Bishop of Irkutsk		0.0
missing	06-30	Icon of the Mother of God of Balikin		0.0
missing	06-30	Saint Gelasius of Rimet		0.0
missing	06-30	Holy Queen Dinar		0.0
present	07-01	Holy Wonderworking Unmercenary Physicians Cosmas and Damian at Rome	Unmercenary Wonderworkers Cosmas and Damian	0.75
missing	07-01	Martyr Potitus at Naples		0.0
missing	07-01	Venerable Peter of Constantinople		0.0
missing	07-01	Saint Angelina of Serbia		0.0
elsewhere	07-01	Translation of the relics of Venerable John of Rila from Trnovo to Rila	08-18  Our Holy Father John, Abbot of Rila (946)	1.0
missing	07-01	Saint Leontius of Rădăuţi		0.0
present	07-02	Saint John [Maximovitch], Archbishop of Shanghai and San Francisco	St John (Maximovich), Archbishop of Shanghai and San Francisco (1966) (June 19 OC)	0.8
probable	07-02	The Placing of the Honorable Robe of the Most Holy Mother of God at Blachernae	Robe of the Theotokos at Blachernae	0.67
missing	07-02	Saint Photius, Metropolitan of Kiev		0.0
present	07-02	Saint Juvenal, Patriarch of Jerusalem	St Juvenal, Patriarch of Jerusalem (458)	1.0
missing	07-02	Icon of the Mother of God of Akhtyr		0.0
missing	07-02	Icon of the Mother of God of Pozhai		0.0
missing	07-02	Icon of the Mother of God of Theodotiev		0.0
missing	07-02	Saint Stephen the Great		0.0
present	07-03	Martyr Hyacinth of Caesarea, in Cappadocia, and those with him	Martyr Hyacinth	1.0
probable	07-03	Translation of the relics of Hieromartyr Philip, Metropolitan of Moscow	Trans. Rel. Philip, Metr. Moscow	0.67
probable	07-03	Venerable Anatolius of the Kiev Near Caves	Our Father among the Saints Anatolios, Archbishop of Constantinople (458)	0.5
probable	07-03	Venerable Anatolius the Recluse of the Kiev Far Caves	Our Father among the Saints Anatolios, Archbishop of Constantinople (458)	0.5
missing	07-03	Saint Basil, Bishop of Ryazan		0.0
missing	07-03	Right-believing Princes Basil and Constantine Vsevolodovich of Yaroslavl		0.0
missing	07-03	Venerable John, Wonderworker of Yarenga, Solovki		0.0
missing	07-03	Venerable Longinus, Wonderworker of Yarenga, Solovki		0.0
elsewhere	07-03	Blessed John of Moscow the Fool-For-Christ	07-21  Our Righteous Fathers John and Symeon, the Fool for Christ's Sake (570)	0.8
missing	07-03	Venerable Νikόdēmos, Abbot of Kozhe Lake		0.0
missing	07-03	Martyrs Mark and Mocius		0.0
present	07-03	Saint Alexander, founder of the Monastery of the “Unsleeping Ones”	Our Holy Father Alexander, founder of the Monastery of the Unsleeping Ones (430)	1.0
present	07-03	Saint Anatolius, Patriarch of Constantinople	Our Father among the Saints Anatolios, Archbishop of Constantinople (458)	1.0
missing	07-03	Monastic Martyr Gerasimus the New of Carpenision		0.0
missing	07-03	Icon of the Mother of God the “Milk-Giver” of the Hilandar Monastery on Mount Athos		0.0
missing	07-03	Saint George the God-Bearer		0.0
elsewhere	07-04	Finding of the relics of Venerable Maximus the Greek (July 4, 1996)	01-21  Our Holy Father Maximos the Greek (1556)	1.0
present	07-04	Saint Andrew, Archbishop of Crete	St Andrew of Crete	1.0
present	07-04	Venerable Andrew Rublev the Iconographer	St Andrew (Rublev), iconographer (1430)	1.0
probable	07-04	Venerable Martha, mother of Venerable Simeon Stylites the Younger	St Martha, mother of St Symeon of the Wonderful Mountain (551)	0.5
probable	07-04	Burial of Saint Andrew the Prince	St Andrew of Crete	0.5
missing	07-04	Uncovering of the relics of Venerable Euthymius, Archimandrite of Suzdal		0.0
elsewhere	07-04	Martyr Theodotus and Theodotia at Caesarea, in Cappadocia	09-02  Martyr Mamas of Caesarea in Cappadocia (275), and his parents, Martyrs Theodotus and Rufina	0.75
missing	07-04	Hieromartyr Theodore, Bishop of Cyrene in Libya, and those with him		0.0
missing	07-04	Venerable Tikhon, Vasily and Nikon, Monks of Solovki		0.0
missing	07-04	Icon of the Mother of God of Galatea		0.0
missing	07-04	Hieromartyr Platon the Newmartyr of Banjaluka		0.0
missing	07-04	Hieromartyr George		0.0
missing	07-04	Saint Savva, Bishop of Gornjikarlovci		0.0
present	07-05	Venerable Athanasius, founder of the Great Lavra and Coenobitic Monasticism on Mount Athos, and his six disciples	St Athanasius of Mt Athos (1003) and his six disciples	1.0
present	07-05	Uncovering of the relics of Venerable Sergius of Radonezh	Uncovering of the Relics (1422) of St Sergius of Radonezh (1392)	1.0
missing	07-05	Martyr Anna at Rome		0.0
missing	07-05	Martyr Cyrilla of Cyrene in Libya, a widow		0.0
present	07-05	Hieromartyr Lampados of Irenopolis	Righteous Father Lampadus the Wonderworker	1.0
present	07-05	Hieromartyr Cyprian of Mount Athos	Our Holy Father the New Martyr Cyprian (1679)	1.0
missing	07-05	“Economissa” Icon of the Mother of God		0.0
present	07-06	Venerable Sisoes the Great	Ven. Sisoes the Great	1.0
probable	07-06	Venerable Sisoes the Schemamonk of the Kiev Far Caves	Ven. Sisoes the Great	0.5
missing	07-06	Uncovering of the relics of Holy Princess Juliana Olshanskaya		0.0
present	07-06	Martyr Marinus, his wife Martha, their children, and those with them at Rome	Holy Martyrs Marinus and Martha, and those with them (269)	1.0
missing	07-06	Martyr Isaurius the Deacon of Apollonia in Macedonia and those with him		0.0
missing	07-06	Confessor and Wonderworker Quintus of Phrygia		0.0
missing	07-06	Martyr Lucy, and those with her, at Rome		0.0
missing	07-06	Synaxis of the Saints of Radonezh		0.0
probable	07-07	Venerable Thomas of Mount Maleos	Ven. Thomas of Mt Maleon	0.33
missing	07-07	Venerable Acacius of Sinai, who is mentioned in the Ladder		0.0
missing	07-07	Venerable Eudokia (in monasticism Euphrosyne), Grand Duchess of Moscow		0.0
missing	07-07	Martyrs Peregrinus, Lucian, Ompeius, Hesychius, Papius, Saturninus, and Germanus, of Dyrrachium in Macedonia		0.0
missing	07-07	Martyr Evangelicus, Bishop of Tomis, Constanța in Romania		0.0
present	07-07	Martyr Kyriake of Nicomedia	Holy Martyr Kyriake of Nicomedia (289)	1.0
missing	07-07	Translation of the “Blachernae” Icon of the Mother of God to Russia		0.0
missing	07-07	Saint Prosper of Aquitaine		0.0
probable	07-08	“Our Lady of Sitka” Icon of the Mother of God	"Appearance of the ""Kazan"" icon of the Most Holy Theotokos (1579)"	0.25
present	07-08	Greatmartyr Procopius of Caesarea, in Palestine	Greatmartyr Procopius of Caesarea	1.0
present	07-08	Righteous Procopius the Fool-For-Christ and Wonderworker of Ustya, Vologda	St Procopius, Fool for Christ (1303)	1.0
missing	07-08	Kazan Icons of the Mother of God in Kazan, St. Petersburg, and Moscow		0.0
probable	07-08	“Tenderness” Icon of the Mother of God in Novgorod	"Appearance of the ""Kazan"" icon of the Most Holy Theotokos (1579)"	0.25
missing	07-08	Monastic Martyrs Epictetus and Astion, at Halmyris		0.0
probable	07-08	Miracle of the Annunciation Icon of the Mother of God at Ustiug	"Appearance of the ""Kazan"" icon of the Most Holy Theotokos (1579)"	0.2
present	07-08	Venerable Theophilus the Myrrhgusher of Macedonia	Ven. Theophilus the Myrrhgusher of Macedonia	1.0
probable	07-08	Icon of the Mother of God of Tambov	"Appearance of the ""Kazan"" icon of the Most Holy Theotokos (1579)"	0.33
missing	07-08	Royal Martyr Mirdat, King of Kartli		0.0
probable	07-08	Kazan-Yaroslavl Icon of the Mother of God	"Appearance of the ""Kazan"" icon of the Most Holy Theotokos (1579)"	0.5
present	07-09	Hieromartyr Pancratius, Bishop of Taormina in Sicily	Hieromartyr Pancratius, Bishop of Taormina	1.0
missing	07-09	Hieromartyr Cyril, Bishop of Gortyna in Crete		0.0
present	07-09	Martyrs Patermuthius, Coprius, and Alexander the Soldier, in Egypt	Patermuthius the Monk	1.0
elsewhere	07-09	Saint Theodore, Bishop of Edessa	07-19  Saint Theodore, Bishop of Edessa	1.0
missing	07-09	Saint Dionysios the Rhetorician and his disciple Saint Mētrophánēs		0.0
missing	07-09	Icon of the Mother of God of Koloch		0.0
missing	07-09	Icon of the Mother of God of Cyprus		0.0
present	07-10	Venerable Anthony of the Kiev Far Caves, Founder of Monasticism in Russia	Ven. Anthony of the Kiev Caves	0.75
missing	07-10	45 Holy Martyrs at Nicopolis in Armenia		0.0
present	07-10	The Placing of the Honorable Robe of the Lord at Moscow	The Placing of the Precious Robe of the Lord in Moscow (1625)	0.8
probable	07-10	Venerable Silvanus the Schemamonk of the Kiev Far Caves	Ven. Anthony of the Kiev Caves	0.5
missing	07-10	Martyr Apollonius of Sardis		0.0
missing	07-10	Martyrs Bianor and Silvanus of Pisidia		0.0
probable	07-10	10,000 Martyred Fathers of the Deserts and Caves of Scete by the Impious Patriarch Theophilus of Alexandria	Ven. Anthony of the Kiev Caves	0.25
missing	07-10	Martyr Νikόdēmos of Elbassan Albania		0.0
missing	07-10	Monastic Martyr Nectarius of Saint Anne Skete on Mount Athos		0.0
missing	07-10	Icon of the Mother of God of Konevits		0.0
present	07-10	Saint Joseph, and his companions, of Damascus	Hieromartyr Joseph of Damascus & His Companions	1.0
present	07-11	Greatmartyr Euphemia the All-praised	Greatmartyr Euphemia	1.0
present	07-11	Equal-to-the-Apostles Blessed Great Princess Olga (in Holy Baptism Helen)	Blessed Princess Olga	1.0
missing	07-11	Hieromartyr Kindeos the Presbyter of Pamphylia		0.0
missing	07-11	Icon of the Mother of God of Rzhevsk		0.0
missing	07-11	New Monastic Martyr Νikόdēmos of Albania		0.0
missing	07-11	Transfer of the Relics of Saint Barbara		0.0
missing	07-11	Venerable Arcadius of Novotorsk		0.0
missing	07-11	Finding of the Relics of Saint Hilarion, Archbishop of Verey		0.0
present	07-12	Martyrs Proclus and Hilary of Ancyra	Martyrs Proclus and Hilary of Ancyra	1.0
present	07-12	Venerable Michael Maleinos	Our Holy Father Michael of Maleinus	1.0
missing	07-12	Martyrs Theodore and his son, John, of Kiev		0.0
elsewhere	07-12	Venerable Arsenius of Novgorod the Fool-For-Christ	07-27  Nicholas of Novgorod the fool-for-Christ	0.8
missing	07-12	Venerable Simon, Abbot of Volomsk		0.0
elsewhere	07-12	Martyr Golinduc (in Baptism Mary), of Persia	07-13  Holy Martyr Golinduc of Persia (6th c.)	1.0
missing	07-12	Venerable John the Georgian of Mount Athos		0.0
missing	07-12	Venerable Gabriel the Georgian of Mount Athos		0.0
missing	07-12	Icon of the Mother of God “of the Three Hands” on Mount Athos		0.0
present	07-12	Saint Veronica (Bernice), the woman with the issue of blood	St Veronica, the woman with the issue of blood who was healed by the Savior	0.8
missing	07-12	Saint Serapion the New		0.0
present	07-12	Venerable Paisios of the Holy Mountain	Saint Païsios of the Holy Mountain (1994) (June 29 OC)	1.0
missing	07-12	Prodromitsa Icon of the Mother of God		0.0
present	07-13	Synaxis of the Archangel Gabriel	Synaxis of Archangel Gabriel	1.0
present	07-13	Venerable Stephen of Saint Savva Monastery	Stephen of Mar Sabbas Monastery	1.0
present	07-13	Saint Julian, Bishop of Cenomanis (Le Mans), Gaul	Saint Julian, Bishop of Cenomanis (Le Mans) (1st c.)	1.0
present	07-13	Martyr Serapion	Serapion the Martyr	1.0
present	07-13	Martyr Marcian of Iconium	Marcian the Martyr of Iconium	1.0
missing	07-13	“It Is Truly Meet” (“Axion Estin”) Icon of the Mother of God		0.0
missing	07-13	Saint Just of Penwith		0.0
missing	07-13	Virgin Abbess Sarah of Sketis in Libya		0.0
present	07-14	Apostle Aquila of the Seventy	Apostle Aquila of the Seventy and St Priscilla	1.0
missing	07-14	Venerable Stephen, Abbot of Makhrishche, Vologda		0.0
present	07-14	Martyr Justus at Rome	Justus the Martyr	1.0
missing	07-14	Venerable Hellius of Egypt		0.0
missing	07-14	Venerable Onesimus of Magnesia		0.0
probable	07-14	Repose of Venerable Nikodemos the Hagiorite	St Nikodemos of the Holy Mountain, spiritual writer (1809)	0.5
present	07-15	Holy Great Prince Vladimir (Basil in Baptism), Equal of the Apostles, and Enlightener of Rus'	Great Prince Vladimir, Equal-to-the-Apostles, Enlightener of the Lands of Rus	0.8
probable	07-15	Saint Quiricus (Kḗrykos) and his mother Julitta	Holy Martyrs Cyricus and His Mother Julitta (304)	0.5
missing	07-15	Martyr Aboudimos of the Isle of Tenedos		0.0
present	07-16	Hieromartyr Athenogenes, Bishop of Heracleopolis, and his ten disciples	Hieromartyr Athenogenes, Bishop of Heracleopolis	1.0
missing	07-16	Martyrs Paul and two sisters, Chionia (Thea) and Alevtina (Valentina), at Cæsarea in Palestine		0.0
missing	07-16	Martyr Antiochus the Physician of Sebaste		0.0
present	07-16	Virgin Martyr Julia of Carthage	Julia the Virgin-martyr of Carthage	1.0
missing	07-16	New Martyr John of Trnovo		0.0
missing	07-16	Icon of the Mother of God of Chirsk-Pskov		0.0
present	07-17	Great Martyr Marina (Margaret) of Antioch	Greatmartyr Marina	1.0
missing	07-17	Venerable Irenarchus, Abbot of Solovki		0.0
missing	07-17	Translation of the relics of Venerable Lazarus of Mount Galesius near Ephesus		0.0
probable	07-17	Royal Passionbearers Tsar Nicholas (Nikolai), Tsaritsa Alexandra, Tsarevich Aleksy, Grand Duchesses Olga, Tatiana, Maria, Anastasia	Holy Royal Martyrs of Russia (Tsar Nicholas II and His Family) (1918)	0.6
missing	07-17	Venerable Leonid of Ustnedumsk		0.0
missing	07-17	Icon of the Mother of God of Sviatogorsk		0.0
present	07-18	Martyr Emilian of Silistria in Bulgaria	Martyr Emilian of Silistria	1.0
missing	07-18	Martyr Hyacinthus of Amastridea		0.0
missing	07-18	Venerable John the Long-Suffering of the Kiev Near Caves		0.0
probable	07-18	Venerable Pambo the Recluse of the Kiev Far Caves	St Pambo, hermit of Egypt (374? 386?)	0.33
present	07-18	Venerable Pambo the Hermit of Egypt	St Pambo, hermit of Egypt (374? 386?)	1.0
missing	07-18	Grand Duchess Elizabeth		0.0
missing	07-18	Nun-martyr Barbara		0.0
missing	07-18	Icon of the Mother of God of Tolga		0.0
missing	07-18	Hieromartyr Kozman		0.0
probable	07-19	Fathers of the First Six Councils	Fathers of the 1st Six Ecumenical Councils	0.67
present	07-19	Uncovering of the relics of Venerable Seraphim of Sarov	Unc. Rel. Ven. Seraphim of Sarov	1.0
present	07-19	Venerable Macrina, sister of Saint Basil the Great	St Macrina, sister of St Basil the Great and St Gregory of Nyssa (380)	1.0
present	07-19	Venerable Dius, Abbot of Antioch	Dius, Abbot of Antioch	1.0
missing	07-19	Right-believing Prince Roman of Ryazan		0.0
elsewhere	07-19	Venerable Paisius of the Kiev Far Caves	08-28  Synaxis of the Kiev Cave Fathers	1.0
elsewhere	07-19	Blessed Stephen, King of Serbia	09-24  St Stephen, First-crowned King of Serbia (Simon the Monk) (1224)	1.0
missing	07-19	Holy Right-believing Princess Militsa of Serbia		0.0
present	07-19	Saint Theodore of Edessa, Mesopotamia	Saint Theodore, Bishop of Edessa	1.0
present	07-20	Holy, Glorious Prophet Elijah	Holy Prophet Elijah	1.0
elsewhere	07-20	Repose of Venerable Abramius of Galich or Chukhloma Lake, disciple of Venerable Sergius of Radonezh	09-25  Our Holy Father Sergius of Radonezh (1392)	1.0
elsewhere	07-20	Uncovering of the relics of Venerable Athanasius, Abbot of Brest-Litovsk	09-05  Holy Hieromartyr Athanasius of Brest-Litovsk (1649)	1.0
missing	07-20	“Chukhloma” Icon of the Mother of God from Galich		0.0
missing	07-20	Martyr Ilia Chavchavadze of Georgia		0.0
present	07-20	Righteous Martyr Maria (Skobtsova)	Martyrs Maria (Skobtsova), Dimitri (Klepenin) and those with them, who perished in the Nazi concentration camps (1944-1945)	1.0
missing	07-20	Priestmartyr Demetrius (Klepinine)		0.0
missing	07-20	Priestmartyr Alexei (Medvedkov)		0.0
missing	07-20	Martyr Salome the Georgian		0.0
missing	07-20	Righteous Aaron		0.0
present	07-21	Prophet Ezekiel	Prophet Ezekiel	1.0
present	07-21	Venerable Simeon of Emessa the Fool-For-Christ, and his fellow ascetic Venerable John	Our Righteous Fathers John and Symeon, the Fool for Christ's Sake (570)	0.83
elsewhere	07-21	Venerable Onuphrius the Silent and Venerable Onesimos the Recluse, of the Kiev Caves	08-28  Synaxis of the Kiev Cave Fathers	1.0
missing	07-21	Icon of the Mother of God of Armatia		0.0
missing	07-21	The Finding of the honored relics of the Venerable right-believing Great Princess and Nun Anna of Kashin, Wonderworker		0.0
present	07-22	Myrrhbearer and Equal of the Apostles Mary Magdalene	Holy Myrrhbearer Mary Magdalene, Equal-to-the-Apostles	1.0
elsewhere	07-22	Translation of the relics of the Hieromartyr Phocas, Bishop of Sinope	09-22  Hieromartyr Phocas, Bishop of Sinope	1.0
missing	07-22	Repose of Venerable Cornelius of Pereyaslavl		0.0
present	07-22	Martyr Markella of Chios	Martyr Markella of Chios	1.0
probable	07-23	Martyr Trophimus and 14 Others in Lycia	Martys Trophimus, Theophilus and Companions	0.33
present	07-23	Hieromartyr Apollinaris, Bishop of Ravenna	Hieromartyr Apollinarius, bishop of Ravenna (75)	1.0
probable	07-23	Icon of the Mother of God “the Joy of All who Sorrow” (with coins) in St. Petersburg	The Icons of the Most Holy Theotokos of Pochaev, Icon of the Mother of God	0.33
missing	07-23	Hieromartyr Vitalius, Bishop of Ravenna		0.0
present	07-23	Icon of the Mother of God of Pochaev	The Icons of the Most Holy Theotokos of Pochaev, Icon of the Mother of God	1.0
probable	07-23	Saint Anna of Leukadio	Righteous Anna (Hannah), mother of the prophet Samuel Righteous Anna (Hannah), mother of the prophet Samuel	0.5
probable	07-24	Martyrs and Passion-Bearers Boris and Gleb	Martyrs Boris and Gleb, Passionbearers	0.67
present	07-24	Martyr Christina of Tyre	Martyr Christina of Tyre (200)	1.0
elsewhere	07-24	Venerable Polycarp, Archimandrite of the Kiev Far Caves	08-28  Synaxis of the Kiev Cave Fathers	1.0
missing	07-24	Saint Hilarion of Tvali		0.0
missing	07-24	Synaxis of the Smolensk Saints		0.0
missing	07-24	Saint Athenagoras of Athens		0.0
present	07-25	Dormition of the Righteous Anna, the Mother of the Most Holy Theotokos	Dormition Righteous Anna, Mother of Theotokos	1.0
present	07-25	Holy Woman Olympias (Olympiada) the Deaconess of Constantinople	St Olympias the Deaconess (408)	1.0
missing	07-25	Virgin Martyr Eupraxia of Tabenna		0.0
missing	07-25	Venerable Makarios, Abbot of Zheltovod and Unzha		0.0
present	07-25	Commemoration of the Holy 165 Fathers of the Fifth Ecumenical Council	Commemoration of the holy 165 Fathers of the Fifth Ecumenical Council (553)	1.0
present	07-26	Repose of Saint Jacob Netsvetov, Enlightener of the Peoples of Alaska	Repose of St Jacob Netsvetov, Enlightener of the Peoples of Alaska	1.0
present	07-26	Hieromartyr Hermolaus and Martyrs Hermippus and Hermocrates at Nicomedia	Holy Hieromartyrs Hermolaus (305), Hermippus, and Hermocrates at Nicomedia	1.0
present	07-26	Venerable Moses the Hungarian of the Kiev Near Caves	Moses the Hungarian	1.0
present	07-26	Martyr Paraskevi of Rome	Holy Righteous Martyr Paraskeve (140)	1.0
missing	07-26	Venerable Geróntios, the Founder of the Skḗtē of Saint Anna on Mount Athos		0.0
missing	07-26	Icon of the Mother of God in Constantinople of “Emvolon”		0.0
elsewhere	07-26	Saint Savva III of Serbia	02-08  St Sabbas II, Archbishop of Serbia (1271)	1.0
missing	07-26	Holy Virgin Martyr Oraiozele, disciple of the Holy Apostle Andrew		0.0
present	07-27	Greatmartyr and Healer Panteleimon	Greatmartyr and Healer Panteleimon	1.0
present	07-27	Blessed Nicholas Kochanov the Fool-For-Christ at Novgorod	Nicholas of Novgorod the fool-for-Christ	1.0
present	07-27	Venerable Anthousa the Confessor	Anthousa the Righteous Confessor	1.0
present	07-27	Saint Clement of Ochrid, Equal of the Apostles, Bishop of Greater Macedonia, and his companions Nahum, Savva, Gorazd and Angelar	St Clement, Archbishop of Ochrid (916)	1.0
present	07-28	Holy Apostles of the Seventy and Deacons: Prochorus, Nicanor, Timon, and Parmenas	Apostles of 70 Prochorus, Nicanor, Timon, Parmenas	1.0
missing	07-28	Saint Pitirim, Bishop of Tambov		0.0
elsewhere	07-28	Venerable Moses, Wonderworker of the Kiev Caves	08-28  Synaxis of the Kiev Cave Fathers	1.0
missing	07-28	Martyr Julian of Dalmatia		0.0
missing	07-28	Martyr Eustathius (Eustace) of Apamea		0.0
