bucket	date	oca_title	best_ours	score
present	01-14	Saint Savva I, first Archbishop of Serbia	Our Holy Father Sava (Sabbas), Enlightener and first Archbishop of Serbia (1236)	1.0
present	01-14	Holy Monastic Fathers slain at Sinai and Raithu	The Holy Fathers slain at Sinai and Raithu (4th – 5th c.)	1.0
present	01-14	Saint Nino (Nina), Equal of the Apostles, Enlightener of Georgia	St Nino of Georgia	1.0
missing	01-14	Saint Joseph Analytinus of Raithu		0.0
missing	01-14	Venerable Theodulus, son of Venerable Nilus of Sinai		0.0
missing	01-14	Venerable Stephen, Abbot of Khenolakkos Monastery, near Chalcedon		0.0
probable	01-14	Saint Kentigern, first Bishop of Glasgow, Scotland	Our Holy Father Sava (Sabbas), Enlightener and first Archbishop of Serbia (1236)	0.25
missing	01-14	Saint Meletios, Bishop of Ryazan		0.0
probable	01-14	Hieromartyr Platon, the first Bishop of Estonia, and all the New Martyrs of Estonia	Our Holy Father Sava (Sabbas), Enlightener and first Archbishop of Serbia (1236)	0.25
present	01-15	Venerable Paul of Thebes	Ven. Paul of Thebes and John Calabytes	1.0
present	01-15	Venerable John Calabytes “the Hut-Dweller”	Our Holy Father John Kalyvites (the hut-dweller) (ca. 450)	0.75
present	01-15	Venerable Pansophius of Alexandria, the Martyr	Ven. Pansophius of Alexandria, the Martyr	1.0
missing	01-15	Saint Prochorus, Abbot in the Vranski Desert on the River Pshina in Bulgaria		0.0
missing	01-15	Venerable Gabriel, Founder of Lesnov Monastery in Bulgaria		0.0
probable	01-15	Saint Ita, Hermitess of Killeedy	Saint Ita of Kileedy, Ireland (570)	0.67
missing	01-15	Saints Salome of Ujarma and Perozhavra of Sivnia		0.0
missing	01-15	Saint Barlaam of Keretsk		0.0
present	01-16	Veneration of the Precious Chains of the Holy and All-Glorious Apostle Peter	Veneration of Chains of Apostle Peter	1.0
elsewhere	01-16	Blessed Maximus the Fool for Christ of Tot'ma	10-02  Bl. Andrew, Fool-for-Christ	0.75
missing	01-16	Martyred brothers Speusippus, Eleusippus, Meleusippus, and those with them, in Gaul		0.0
missing	01-16	Martyr Danax the Reader, in Macedonia		0.0
missing	01-16	Saint Honoratus, Archbishop of Arles, founder of Lerins Monastery		0.0
missing	01-16	Hieromartyr Damascene the New		0.0
missing	01-16	Venerable Romilus of Ravenica		0.0
probable	01-17	Venerable and God-bearing Father Anthony the Great	Ven. Godbearing Anthony the Great	0.33
probable	01-17	Venerable Anthony of Dymsk, Novgorod	Ven. Godbearing Anthony the Great	0.33
probable	01-17	Venerable Anthony of Chernoezero	Ven. Godbearing Anthony the Great	0.5
probable	01-17	Saint Anthony of Krasny Kholm	Ven. Godbearing Anthony the Great	0.33
present	01-17	Emperor Theodosius the Great	Pious Emperor Theodosius the Great (395)	1.0
missing	01-17	Venerable Achilles		0.0
present	01-18	Saint Athanasius the Great, Archbishop of Alexandria	Ss Athanasius the Great and Cyril of Alexandria	1.0
